config_id,strategy,symbols,avg_exposure,start,end,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,total_return
random_forest|all_features|0.40,model,5,0.9280435429497269,2020-01-02,2023-12-29,0.25835170353574555,0.3257639593346444,0.7930641071020108,1.0449966985467882,-0.47246738526015974,1.8048677889438811
logistic_regression|returns_only|0.40,model,5,0.9849448024827723,2020-01-02,2023-12-29,0.2677935164026162,0.33808340088567534,0.7920930625433811,1.0798583506276715,-0.5184201544137724,1.9126074771659765
random_forest|no_volume_features|0.40,model,5,0.9067617634112525,2020-01-02,2023-12-29,0.251210450755734,0.31736008184587056,0.7915628496646819,1.0574439261192248,-0.4855171278062116,1.7260347185909959
gradient_boosting|no_volume_features|0.70,model,5,0.13556060106146717,2020-01-02,2023-12-29,0.08038450824282946,0.10167533652955893,0.7905998739375716,0.8218359020198376,-0.09836307462728311,0.3783678208723893
random_forest|no_volume_features|0.45,model,5,0.808718131476853,2020-01-02,2023-12-29,0.2278025880110052,0.2899016014239178,0.7857927893192065,1.0514904462367096,-0.4657729420767006,1.4828383333349575
xgboost|returns_plus_volatility|0.70,model,5,0.12205786625753715,2020-01-02,2023-12-29,0.07626103297557603,0.09709165104325959,0.7854540751562419,0.8251967029371509,-0.08272202949437857,0.35586399471995955
random_forest|all_features|0.55,model,5,0.45158735490311797,2020-01-02,2023-12-29,0.15171132183273128,0.19399025331065595,0.7820564138847781,1.0012282290873988,-0.3018423788597696,0.8324268378763608
logistic_regression|returns_plus_volatility|0.40,model,5,0.9726705382997778,2020-01-02,2023-12-29,0.25893168095493757,0.33134650444900127,0.7814528823399454,1.0770766145849793,-0.5055863223263803,1.811369441831768
logistic_regression|all_features|0.40,model,5,0.9623386227972232,2020-01-02,2023-12-29,0.2531633412550122,0.3277306778778752,0.7724737363444213,1.0509380036584826,-0.5114546774797328,1.7473701146156508
gradient_boosting|zscore_features|0.40,model,5,0.8550699824955151,2020-01-02,2023-12-29,0.23092463846397596,0.2997711750988856,0.7703363686912218,1.024661695448449,-0.4592559402763574,1.5139766411818472
xgboost|all_features|0.40,model,5,0.8297266003930822,2020-01-02,2023-12-29,0.22674667930256365,0.2964865297852492,0.764779025430938,0.99701984781809,-0.4703394879952756,1.4723945646506937
random_forest|returns_plus_volatility|0.40,model,5,0.9051767642523576,2020-01-02,2023-12-29,0.23927752121098303,0.31403673669432985,0.7619411783783937,1.0300643416851447,-0.4993168042670867,1.5992191081541742
random_forest|no_volume_features|0.50,model,5,0.6603764453322916,2020-01-02,2023-12-29,0.19112820652200863,0.25195001051913385,0.758595747339704,0.9912103902859046,-0.3543061060610192,1.1446919640414204
logistic_regression|returns_only|0.65,model,5,0.03652732066901476,2020-01-02,2023-12-29,0.051555063608126235,0.06806748892154324,0.7574109817324134,0.5675985176340889,-0.054266170819294746,0.2285210987865105
logistic_regression|zscore_features|0.45,model,5,0.9731480396501702,2020-01-02,2023-12-29,0.25316611599963923,0.3359712026142574,0.7535351661978894,1.0016194325627072,-0.48225788681215165,1.747400547284066
random_forest|returns_only|0.40,model,5,0.9191172556527138,2020-01-02,2023-12-29,0.23720189990742696,0.3163898971800702,0.74971388790087,1.0269978854367996,-0.4994619846333822,1.5777709300039673
gradient_boosting|zscore_features|0.45,model,5,0.7812394872983128,2020-01-02,2023-12-29,0.20523977597471882,0.2741925364024201,0.7485242985370602,1.0365606015402293,-0.43857211872237645,1.2689796040285688
xgboost|no_volume_features|0.40,model,5,0.8339596383772895,2020-01-02,2023-12-29,0.2193644540903627,0.2932040113122992,0.7481632093249637,0.9783114778057954,-0.4743689937773453,1.4005954929292654
xgboost|returns_only|0.50,model,5,0.6197604729835285,2020-01-02,2023-12-29,0.17242630252350444,0.23075721918436543,0.7472195371956836,1.0402566106601736,-0.3972869556048685,0.9904022368383605
gradient_boosting|returns_only|0.45,model,5,0.7578050455309073,2020-01-02,2023-12-29,0.19882395391521843,0.2670949063940743,0.7443944049680667,0.9605768049298238,-0.44696270777743974,1.211603565745687
gradient_boosting|returns_only|0.40,model,5,0.8367302830837389,2020-01-02,2023-12-29,0.21281259665257551,0.28691938194895944,0.7417156526931077,0.9869105078144866,-0.4358972018834383,1.3386209025561047
xgboost|all_features|0.45,model,5,0.7368724966624499,2020-01-02,2023-12-29,0.19201893032624506,0.26113091371358754,0.7353358803655642,1.0206344854865188,-0.4406994398105104,1.1523316901657834
gradient_boosting|all_features|0.55,model,5,0.4817086924027336,2020-01-02,2023-12-29,0.13992396576934732,0.19052758088559407,0.7344026787038636,0.9190004821610188,-0.27307029959725926,0.7481976718332326
logistic_regression|no_volume_features|0.40,model,5,0.9752578459110419,2020-01-02,2023-12-29,0.24499066041295028,0.3337645112118696,0.734022498447815,1.0023954706443101,-0.5213443612844555,1.6591812411441564
xgboost|returns_plus_volatility|0.45,model,5,0.7460156675262686,2020-01-02,2023-12-29,0.1974423913341712,0.2698714632849838,0.7316164107565252,0.9853518847369185,-0.3896541045540163,1.1994395155147277
xgboost|returns_only|0.45,model,5,0.7474669438189272,2020-01-02,2023-12-29,0.19476535460905745,0.266894263391341,0.7297472494696428,0.9949966879513121,-0.42013542020367134,1.1760594766808135
xgboost|zscore_features|0.65,model,5,0.19415637091510987,2020-01-02,2023-12-29,0.0776350270032826,0.1066518577935311,0.727929438918705,0.9608820907477794,-0.1654684059698548,0.3633214391452011
logistic_regression|no_volume_features|0.55,model,5,0.40783996886536295,2020-01-02,2023-12-29,0.13895017784606248,0.19101768684260398,0.7274204820653889,0.9195560977698815,-0.2308400340675979,0.741414879948024
random_forest|no_volume_features|0.70,model,5,0.04767638924195307,2020-01-02,2023-12-29,0.04229629822594616,0.058345976618491134,0.7249222770322354,0.7018200782958479,-0.04750643263730081,0.1839419517209533
