symbol,strategy,model,feature_set,threshold,folds,avg_exposure,avg_trade_count,avg_accuracy,avg_precision,avg_roc_auc,avg_sharpe_ratio,avg_sortino_ratio,avg_max_drawdown,avg_total_return
META,sized_linear,random_forest,returns_only,0.6,4,0.0695360033752507,78.5,0.5020313528494716,0.570045794962554,0.52062809991268,0.8549700771285196,0.6552570050383087,-0.057355028667953695,0.049761604299359385
META,sized_near_full,random_forest,returns_only,0.6,4,0.16897947500418053,67.0,0.5020313528494716,0.570045794962554,0.52062809991268,0.8219876910242532,0.6291387474514889,-0.12605266474158286,0.10787765628045881
META,volatility_adjusted_50,random_forest,returns_only_inverse_volatility,0.6,1,0.019622812964969785,315.0,,,,0.017327452385869337,0.009440118966890844,-0.07053087891148146,0.002425941697455025
META,volatility_adjusted_75,random_forest,returns_only_inverse_volatility,0.6,1,0.0292672307364448,315.0,,,,0.00376103969918446,0.0020359137425059563,-0.10367715801683863,0.000783978858456269
META,volatility_adjusted_diversified_50,random_forest,returns_only_inverse_volatility,0.6,1,0.017453071884231185,292.0,,,,0.2718533778989326,0.16740534774877577,-0.04325026746359284,0.02713690919973355
META,volatility_adjusted_diversified_75,random_forest,returns_only_inverse_volatility,0.6,1,0.026179607826346776,292.0,,,,0.2718533778989326,0.1674053477487757,-0.06416879129450781,0.04098028178405233
META,volatility_adjusted_diversified_full,random_forest,returns_only_inverse_volatility,0.6,1,0.03490614376846237,292.0,,,,0.2718533778989326,0.16740534774877577,-0.08462994929151324,0.05501023024038143
META,volatility_adjusted_full,random_forest,returns_only_inverse_volatility,0.6,1,0.03902297431525972,315.0,,,,0.003761039699184627,0.002035913742506047,-0.13579000354303983,0.0010454417036764863
MSFT,always_long,baseline,baseline,0.0,4,1.0,0.0,0.525798498583619,0.525798498583619,0.5,0.9546098881752746,1.4954887583465641,-0.2134347446458393,0.3159884936456937
MSFT,long_flat,random_forest,returns_only,0.4,4,0.9107401993756575,29.0,0.5218104816445368,0.527476095812853,0.5196496609527288,1.0130188269708715,1.4508196512274858,-0.19423159368471188,0.3470824279248683
MSFT,sized_aggressive,random_forest,returns_only,0.4,4,0.8413548494084394,98.75,0.5218104816445368,0.527476095812853,0.5196496609527288,0.9382904810708839,1.2949863447038403,-0.18844195630280533,0.3100531700273529
MSFT,sized_balanced,random_forest,returns_only,0.4,4,0.7411497654216561,144.75,0.5218104816445368,0.527476095812853,0.5196496609527288,0.8939652998740939,1.1980058311848538,-0.1792966960236591,0.27143453520010163
MSFT,sized_linear,random_forest,returns_only,0.4,4,0.4245049601376253,242.25,0.5218104816445368,0.527476095812853,0.5196496609527288,1.0316707519602475,1.4387530910183148,-0.09579551983313003,0.16435703680363262
